index,x_pos,y_pos,z_pos,w_ort,x_ort,y_ort,z_ort
0,-1.0721678733825684,1.0339248180389404,0.0,1.0,0.0,0.0,0.0
1,-1.201162338256836,3.2105062007904053,0.0,1.0,0.0,0.0,0.0
2,-2.917374849319458,3.3207528591156006,0.0,1.0,0.0,0.0,0.0
3,-4.169873237609863,2.1173226833343506,0.0,1.0,0.0,0.0,0.0
